,SubjectName,,Z-Data under Different criteria,,,,,,Accuracy
1,'BYZ',Z(Hit),-1.797714754,-1.060562244,-0.260543657,1.036433389,2.286547951,'BYZ',0.52 
2,,Z(FA),-1.914505825,-1.123768823,-0.362917295,0.9454201,2.009874772,'BYZ',
3,'CLL',Z(Hit),-0.755415026,-0.246163647,-0.062706778,0,0,'CLL',0.52 
4,,Z(FA),-0.793000077,-0.340694827,-0.196211734,0,0,'CLL',0.52 
5,'DLC',Z(Hit),-1.220640349,-0.430727299,-0.048759308,0.370364245,1.479941389,'DLC',0.54 
6,,Z(FA),-1.177768552,-0.532406557,-0.246163647,0.125661347,1.439531471,'DLC',
7,'GAX',Z(Hit),-3.196950229,-1.382994127,-0.104633456,0.851585042,2.009874772,'GAX',0.50 
8,,Z(FA),-2.539184814,-1.265881375,-0.125661347,0.718868053,2.06536065,'GAX',0.50 
9,'HMH',Z(Hit),-1.235440342,-0.51642794,-0.06968492,0.484857012,1.420179069,'HMH',0.52 
10,,Z(FA),-1.401344396,-0.727913291,-0.146744955,0.318639364,1.220640349,'HMH',
11,'HP',Z(Hit),-2.539184814,-0.86163412,-0.340694827,0.139710299,2.539184814,'HP',0.52 
12,,Z(FA),-2.3939798,-0.934589291,-0.446057716,0.153786882,2.772921295,'HP',0.52 
13,'HYP',Z(Hit),-2.286547951,0.048759308,2.539184814,0,0,'HYP',0.53 
14,,Z(FA),-3.196950229,-0.090641094,3.196950229,0,0,'HYP',0.53 
15,'JJ',Z(Hit),-0.821939886,-0.246163647,0.231834362,0.783500375,1.797714754,'JJ',0.68 
16,,Z(FA),-1.833914636,-1.235440342,-0.755415026,0.076666458,1.382994127,'JJ',0.68 
17,'JJC',Z(Hit),-2.286547951,-0.400363385,0.076666458,0.318639364,2.200410581,'JJC',0.56 
18,,Z(FA),-2.3939798,-0.622925723,-0.23899287,0.111637155,2.06536065,'JJC',0.56 
19,'LD',Z(Hit),-2.539184814,-0.755415026,0.013926163,0.831740287,0,'LD',0.55 
20,,Z(FA),-2.3939798,-1.123768823,-0.246163647,0.746185186,0,'LD',0.55 
21,'LMT',Z(Hit),-2.772921295,-1.15034938,-0.524400513,0.013926163,2.772921295,'LMT',0.50 
22,,Z(FA),-3.196950229,-1.177768552,-0.51642794,0,2.200410581,'LMT',0.50 
23,'LY',Z(Hit),-1.048421517,-0.182034622,1.235440342,2.772921295,0,'LY',0.53 
24,,Z(FA),-1.330561513,-0.333325108,1.347628878,3.196950229,0,'LY',0.53 
25,'PC',Z(Hit),-1.220640349,-0.048759308,1.206103001,0,0,'PC',0.50 
26,,Z(FA),-1.347628878,-0.041789298,1.220640349,0,0,'PC',0.50 
27,'QP',Z(Hit),-1.401344396,-0.597760126,0.076666458,0.597760126,1.618496894,'QP',0.62 
28,,Z(FA),-1.797714754,-1.250516009,-0.572967548,0.132682549,1.191816172,'QP',0.62 
29,'SL',Z(Hit),-0.902734792,-0.67448975,-0.189118426,0.923867021,2.200410581,'SL',0.57 
30,,Z(FA),-1.36509809,-1.250516009,-0.556633621,0.821939886,2.128045234,'SL',0.57 
31,'SZJ',Z(Hit),-0.548522283,-0.06968492,0.217552525,0.902734792,1.644853627,'SZJ',0.55 
32,,Z(FA),-0.812217801,-0.274977749,-0.055731688,0.622925723,1.382994127,'SZJ',0.55 
33,'TCD',Z(Hit),-1.097959391,-0.508488059,-0.06968492,0.296737838,1.420179069,'TCD',0.56 
34,,Z(FA),-1.36509809,-0.793000077,-0.355490418,-0.006962913,1.459438542,'TCD',0.56 
35,'WYX',Z(Hit),-2.128045234,-1.545513019,-0.104633456,0.606105883,1.31387317,'WYX',0.48 
36,,Z(FA),-1.763728041,-1.235440342,-0.027855027,0.581191922,1.206103001,'WYX',0.48 
37,'XBJ',Z(Hit),-2.772921295,-0.090641094,-0.048759308,-0.048759308,2.772921295,'XBJ',0.57 
38,,Z(FA),-2.539184814,-0.438379629,-0.407918741,-0.377831791,2.772921295,'XBJ',0.57 
39,'YCX',Z(Hit),-1.439531471,-0.709881251,-0.196211734,0.446057716,1.797714754,'YCX',0.53 
40,,Z(FA),-1.618496894,-0.821939886,-0.362917295,0.385320466,2.3939798,'YCX',0.53 
41,'YJC',Z(Hit),-1.501085946,-1.072861342,-0.055731688,1.297542929,2.772921295,'YJC',0.55 
42,,Z(FA),-1.701288167,-1.206103001,-0.296737838,1.085324908,2.539184814,'YJC',0.55 
43,'YJZ',Z(Hit),-1.220640349,-0.160836442,-0.013926163,0.118646334,1.593218818,'YJZ',0.52 
44,,Z(FA),-1.347628878,-0.246163647,-0.090641094,0.076666458,1.644853627,'YJZ',0.52 
45,'YPL',Z(Hit),-0.746185186,0.062706778,0.484857012,0.902734792,1.593218818,'YPL',0.69 
46,,Z(FA),-1.593218818,-1.097959391,-0.492703333,0.083651734,1.191816172,'YPL',0.69 
47,'ZJ',Z(Hit),-2.06536065,-0.692077137,-0.167894005,0.407918741,1.618496894,'ZJ',0.51 
48,,Z(FA),-2.06536065,-0.764709674,-0.224687715,0.430727299,1.568919632,'ZJ',0.51 
49,'ZJT',Z(Hit),-2.3939798,-1.163949582,-0.282216147,0.764709674,0,'ZJT',0.53 
50,,Z(FA),-2.286547951,-1.501085946,-0.500580105,0.589455798,0,'ZJT',0.53 
51,'ZLK',Z(Hit),-1.568919632,-0.851585042,-0.104633456,0.934589291,2.539184814,'ZLK',0.54 
52,,Z(FA),-1.833914636,-0.98990159,-0.289469362,0.934589291,2.772921295,'ZLK',0.54 
53,'ZXL',Z(Hit),-1.914505825,-0.793000077,0.146744955,1.731664396,2.539184814,'ZXL',0.59 
54,,Z(FA),-3.196950229,-1.522923771,-0.318639364,1.618496894,2.772921295,'ZXL',0.59 
55,'ZY',Z(Hit),-1.206103001,-0.665774016,-0.160836442,0.370364245,1.763728041,'ZY',0.53 
56,,Z(FA),-1.593218818,-1.012893337,-0.325973448,0.203314927,1.522923771,'ZY',0.53 
57,'DLC2',Z(Hit),-0.812217801,-0.153786882,0.231834362,0.548522283,1.644853627,,62.0%
58,,Z(FA),-1.522923771,-0.841621234,-0.370364245,0.090641094,1.136958689,,
59,'LD2',Z(Hit),-1.545513019,-0.430727299,0.871770972,3.196950229,0,,53.0%
60,,Z(FA),-1.479941389,-0.581191922,0.913249927,3.196950229,0,,
61,'LMT2',Z(Hit),-1.235440342,-0.146744955,0.97859976,0,0,,51.0%
62,,Z(FA),-1.235440342,-0.17495994,0.98990159,0,0,,
63,'XBJ2',Z(Hit),-2.200410581,-0.146744955,-0.146744955,-0.139710299,2.772921295,,59.0%
64,,Z(FA),-3.196950229,-0.648492181,-0.648492181,-0.639923674,2.539184814,,
,"For example, DLC2 and DLC  represent the first time and the second time of subject DLC respectively .The same for LD2,LMT2 and XBJ2.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,